ID	Question	DBpedia	MusicBrainz	Wikidata	YAGO	LinkedMDB
1	List all boardgames by GMT.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?label WHERE { ?uri dbo:publisher res:GMT_Games; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P123 wd:Q928726 SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>SELECT ?label WHERE {?uri res:linksTo res:GMT_Games . ?uri a res:wikicat_Board_games . ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
2	Who developed Skype?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?label WHERE { res:Skype dbo:developer ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q40984 wdt:P178 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:Skype info:developer ?label . FILTER langMatches( lcase(lang(?label)), "eng" )}	X
3	Which people were born in Heraklion?	PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX res: <http://yago-knowledge.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX onto: <http://dbpedia.org/ontology/> SELECT DISTINCT ?label WHERE { ?uri rdf:type onto:Person ; onto:birthPlace <http://dbpedia.org/resource/Heraklion>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q5 . ?item wdt:P19 wd:Q160544 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX yago: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label  WHERE {     ?uri yago:wasBornIn yago:Heraklion;           rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" )     }	X
4	In which U.S. state is Area 51 located?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?label WHERE { res:Area_51 dbo:location ?uri . ?uri dbo:country res:United_States; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q177397 wdt:P131 ?item .   ?item wdt:P31 wd:Q35657 SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:Area_51 info:location ?label .  FILTER langMatches( lcase(lang(?label)), "en" )}	X
5	Who is the mayor of New York City?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:New_York_City dbo:leaderName ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q60 wdt:P6 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/> SELECT DISTINCT  ?label WHERE {  ?s res:isLeaderOf res:New_York_City. ?s rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )   } 	X
6	Which countries have places with more than two caves?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?cave rdf:type dbo:Cave ; dbo:location ?uri . ?uri rdf:type dbo:Country; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label HAVING ( COUNT(?cave) > 2 )	X	SELECT ?itemLabel WHERE { ?cave wdt:P17 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } GROUP BY ?itemLabel HAVING ( COUNT(?cave) > 2 )	X	X
7	Where did Abraham Lincoln die?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?label WHERE { res:Abraham_Lincoln dbo:deathPlace ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q91 wdt:P20 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
8	Which airports does Air China serve?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Air_China dbo:targetAirport ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q51747 wdt:P113 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:Air_China_destinations res:linksTo ?uri .?uri a res:wikicat_Airports .?uri rdfs:label ?label.   FILTER langMatches( lcase(lang(?label)), "eng" )}	X
9	Give me all actors starring in movies directed by and starring William Shatner.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?label WHERE { ?x dbo:director res:William_Shatner ; dbo:starring res:William_Shatner; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?x dbo:starring ?uri } UNION { ?x dbp:starring ?uri } }	X	SELECT ?itemLabel WHERE { ?movie wdt:P57 wd:Q16297. ?movie wdt:P161 wd:Q16297 . ?movie wdt:P161 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:William_Shatner res:directed  ?uri .res:William_Shatner res:actedIn ?uri .?uri rdfs:label ?label.   FILTER langMatches( lcase(lang(?label)), "eng" )} 	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>SELECT DISTINCT ?label  WHERE {?uri a lmdbm:film.?uri lmdbm:actor <http://data.linkedmdb.org/resource/actor/29685>.?uri lmdbm:director <http://data.linkedmdb.org/resource/director/8506>.?uri rdfs:label ?label.}
10	What are the official languages of the Philippines?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Philippines dbo:officialLanguage ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q928 wdt:P37 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT ?label WHERE {res:Philippines res:hasOfficialLanguage ?uri .?uri rdfs:label ?label.   FILTER langMatches( lcase(lang(?label)), "en" )} 	X
